id,question_text,option1,option2,option3,option4,question_type,correct_option
246,A male newborn develops sudden respiratory distress. Chest radiograph shows hyperlucent left upper lobe with adjacent lobar compression and mediastinal shift to the right. Which of the following is the most appropriate treatment?,Intubation,Thoracotomy,Bronchoscopy,Thoracostomy,surgery,Thoracotomy
247,A 5-week-old boy presents with persistent progressive projectile vomiting. Which of the following is the most appropriate next step in management?,Anti-emetics,Normal saline,Ringer lactate,Potassium chloride,surgery,Normal saline
248,A 3-year-old boy presented to Emergency Department with progressive abdominal pain and vomiting. Examination revealed distended abdomen. Which of the following is the most appropriate initial management?,MRI abdomen,CT scan abdomen,Ultrasound abdomen,Plain abdominal X-ray,surgery,Ultrasound abdomen
249,A 10-month-old girl was brought by her family due to swelling in the umbilicus that becomes more obvious when she cries and disappears during sleep. Which of the following is the most appropriate management?,Follow up,Mesh repair,Simple repair,Laparoscopic repair,surgery,Follow up
1330,"A 60-year-old woman is complaining of abnormal genital bleeding. She describes the amount of bleeding has been scanty, spotting and just staining the pad. Which of the following would be the most likely source of bleeding?",Uterus,Ovarian source,Fallopian tubes,Lower genital tract,obstetrics and gynecology,Lower genital tract
1331,A 45-year-old woman is complaining of abnormal genital bleeding. Which of the following would highly suggest a uterine source of bleeding?,Color of the blood,Post-coital bleeding,Scanty vaginal bleeding,Profuse vaginal bleeding,obstetrics and gynecology,Profuse vaginal bleeding
1332,A 35-year-old woman is complaining of abnormal genital bleeding. Which of the following would suggest a cervical source of bleeding?,Post-coital bleeding,Heavy vaginal bleeding,Pain-associated bleeding,Color of bleeding contents,obstetrics and gynecology,Post-coital bleeding
1333,"A 26-year-old woman at 6 weeks gestation presents with mild pelvic pain and vaginal bleeding. Pelvis US shows thickened endometrium, minimal cul-de-sac fluid, right adnexal mass <3 cm. hCG = 1000 mIU/mL. Most appropriate management?",Mifepristone,Methotrexate,Salpingectomy,Salpingostomy,obstetrics and gynecology,Methotrexate
1334,A 6-year-old girl presents with vulvar itching and bloody vaginal discharge. Most likely diagnosis?,Candidiasis,Foreign body,Sexual abuse,Atrophic vaginitis,obstetrics and gynecology,Foreign body
1335,"A 55-year-old postmenopausal woman presents with vulvar irritation, urgency, frequency, watery discharge, and erythema. Most likely diagnosis?",Candidiasis,Trichomoniasis,Atrophic vaginitis,Bacterial vaginosis,obstetrics and gynecology,Atrophic vaginitis
1336,"A 22-year-old woman presents with headache, malaise, fever, and multiple bilateral painful anogenital vesicles. Most likely diagnosis?",Genital warts,Genital herpes,Genital mycoplasmas,Chlamydia trachomatis,obstetrics and gynecology,Genital herpes
1337,A 32-week pregnant woman with large genital warts on vulva. Most appropriate treatment?,Cryotherapy,Electrocautery,Podophyllin resin,Intralesional interferon,obstetrics and gynecology,Cryotherapy
1338,A 34-week pregnant woman with chlamydia. Most common neonatal infection acquired?,Eye,Ear,Liver,Lung,obstetrics and gynecology,Eye
1339,A 32-week pregnant woman with polyhydramnios presents with painful vaginal bleeding and uterine tenderness after ROM. Fetal bradycardia noted. Most likely diagnosis?,Vasa previa,Cord prolapse,Placenta previa,Abruptio placenta,obstetrics and gynecology,Abruptio placenta
1340,"A 23-week primigravida at 32 weeks presents with seizures, BP = 160/110 mmHg, proteinuria +++. Most appropriate treatment?",Steroids,Diuretics,Hydralazine,Magnesium sulfate,obstetrics and gynecology,Magnesium sulfate
1341,"A 38-week primigravida with ruptured membranes for 24 hours, no contractions, cephalic presentation. Most appropriate next step?",Observation,Amnioinfusion,Cesarean section,Induction of labor,obstetrics and gynecology,Induction of labor
1342,A 27-week pregnant woman at 24 weeks presents with dysuria and lower abdominal pain. Most appropriate initial investigation?,Cystoscopy,MRI pelvis,Urine culture,Ultrasound urinary tract,obstetrics and gynecology,Urine culture
1343,A 40-year-old woman presents with heavy menstrual bleeding for 4 months. Hysteroscopy planned. Most common complication of hysteroscopy?,Infection,Adhesion formation,Hemorrhage,Vaginal discharge,obstetrics and gynecology,Hemorrhage
1344,A 22-year-old woman in preconception clinic plans to conceive in winter. Which vaccine is recommended pre-pregnancy?,Rubella,Pertussis,Influenza,Varicella,obstetrics and gynecology,Influenza
1345,A 26-year-old woman planning pregnancy. Which supplement is most recommended preconception?,Zinc,Iron,Calcium,Folic acid,obstetrics and gynecology,Folic acid
264,"A 40-year-old woman had laparoscopic Roux-en-Y gastric bypass 5 days ago and now presents with left shoulder pain, fever, and rigors. BP = 90/60 mmHg, HR = 120/min, Temp = 38.6°C. Which of the following is the most appropriate next step in management?",Endoscopy,Ultrasound abdomen,Diagnostic laparoscopy,CT scan abdomen with contrast,surgery,CT scan abdomen with contrast
265,A 26-year-old woman presented 17 days after laparoscopic sleeve gastrectomy complaining of persistent vomiting and changes in mood according to family. Examination revealed soft abdomen. Ultrasound abdomen: Normal. CT scan abdomen: Normal. Which of the following is the most appropriate management?,Endoscopy,Reassurance,Diagnostic laparoscopy,Psychiatry consultation,surgery,Psychiatry consultation
266,A 30-year-old woman who is 10 weeks pregnant and known to have gallstones presents to the Surgical Clinic complaining of recurrent attacks of biliary colic for the last 5 weeks. Which of the following is the most appropriate management?,Immediate laparoscopic cholecystectomy,Laparoscopic cholecystectomy after delivery,Laparoscopic cholecystectomy in 2nd trimester,Laparoscopic cholecystectomy in 3rd trimester,surgery,Laparoscopic cholecystectomy in 2nd trimester
267,"A 73-year-old man presented with abdominal pain and constipation for 1 week. Workup revealed sigmoid cancer. He underwent laparoscopic surgery with a plan to perform resection with a proximal colostomy. During the operation, his vital signs changed: BP = 86/45 mmHg, HR = 124/min, Temp = 36.8°C. Which of the following is the most appropriate next step in management?",Chest X-ray,Echocardiography,Convert to laparotomy,Terminate the surgery,surgery,Echocardiography
268,"A 65-year-old man presented to the Emergency Department with pain over the angle of his mouth for 24 hours. He underwent laparoscopic cholecystectomy 8 days prior. BP = 110/72 mmHg, HR = 104/min, Temp = 38.8°C. Which of the following is the most appropriate management?",CT scan,Plain X-ray,Antibiotics,Paracetamol,surgery,Antibiotics
269,"A 25-year-old woman underwent appendectomy. 20 hours after surgery, she complained of severe pain at the wound site with purulent discharge. BP = 100/55 mmHg, HR = 114/min, Temp = 38.8°C. Which of the following is the most appropriate management?",Dressing,Antibiotics,Observation,Wound exploration,surgery,Wound exploration
270,"A 35-year-old man has been in the ICU with severe pancreatitis, ventilator dependence, and pneumonia for 2 weeks. Receiving nutrition parenterally. Lab results: Platelets = 184 x10⁹/L, Total bilirubin = 4.6 µmol/L, APTT = 36 sec, INR = 2.1. Which of the following is the most appropriate management?",Factor X,Vitamin K,Vitamin C,Factor VIII,surgery,Vitamin K
271,"A 58-year-old man had laparotomy with sigmoidectomy and colostomy for perforated diverticulitis. Now presents with intermittent fever for 1 week. Chest and abdomen exams normal, wound healthy. BP = 116/68 mmHg, HR = 106/min, Temp = 38.2°C. Which is the most appropriate next step?",Exploration,Reassurance,CT scan abdomen,Plain chest X-ray,surgery,CT scan abdomen
272,"A 41-year-old man underwent laparoscopic cholecystectomy 5 days ago and now experiences severe abdominal pain and distension. Exam shows distended, tender abdomen. Ultrasound reveals ascites. BP = 100/55 mmHg, HR = 103/min, Temp = 37.9°C. Which is the most appropriate management?",Endoscopic retrograde cholangiopancreatogram,Diagnostic laparoscopy,Exploratory laparotomy,Percutaneous aspiration,surgery,Diagnostic laparoscopy
273,"A 36-year-old man was stabbed in the right lower quadrant of his abdomen 1 hour ago. Pain at wound site. Local exam shows penetration of anterior abdominal fascia. Vitals stable. BP = 110/62 mmHg, HR = 87/min, Temp = 37.2°C. Which is the most appropriate next step?",CT scan abdomen,Hospital observation,Diagnostic laparoscopy,Exploratory laparotomy,surgery,CT scan abdomen
274,A 40-year-old man had abdominal surgery 12 hours ago. Notes drainage of 20 mL fluid from midline wound. Which is the most appropriate management?,Dressing,Antibiotics,CT scan abdomen,Wound exploration,surgery,Wound exploration
275,A 40-year-old man who underwent laparotomy and lysis for adhesive intestinal obstruction now on follow-up with discharge from middle of the wound. Which is the most appropriate management?,Daily dressing,Wound inspection,Abdominal CT scan,Wound exploration,surgery,Wound inspection
276,A 63-year-old woman comes to clinic for annual check-up. Examination reveals small asymptomatic right femoral hernia. Which is the most appropriate management?,Observation,Open mesh repair,Open simple repair,Laparoscopic repair,surgery,Laparoscopic repair
277,"A 45-year-old woman presents with postprandial right upper quadrant pain, nausea, and vomiting. Labs: WBC = 11 x10⁹/L, Direct bilirubin = 9.5 µmol/L, Total bilirubin = 18.5 µmol/L, Alk Phos = 463 IU/L. US shows cholelithiasis, thickened gallbladder wall, CBD = 12 mm. Which is the most appropriate management?",ERCP,MRCP,Laparoscopic cholecystectomy,Conservative treatment,surgery,ERCP
278,"A 73-year-old woman presents with new-onset jaundice, generalized fatigue, weight loss, and loss of appetite. CT shows multiple lesions replacing ~70% of liver parenchyma. Which is the most appropriate management?",Colonoscopy,Upper GI endoscopy,Percutaneous biopsy,Diagnostic laparoscopy,surgery,Colonoscopy
279,Which of the following confirms proper position of orotracheal intubation?,Carbon dioxide monitor,Easy insertion,Movement of the chest,Distended abdomen,surgery,Carbon dioxide monitor
280,A trauma patient who lost 25% of his blood volume. Which of the following is most expected to be decreased?,Urine output,Pulse pressure,Respiratory rate,Glasgow coma scale,surgery,Pulse pressure
281,Which of the following is the first priority when managing long bone fracture?,Pain management,Improve function,Decrease blood loss,Decrease soft tissue trauma,surgery,Decrease blood loss
282,"A 36-year-old man fell from a height of 4 meters. GCS = 15, vital signs stable, but complains of severe bilateral heel pain. Which is the most appropriate next step?",Pain control,Examine pulses,Bilateral splint,Bilateral foot X-ray,surgery,Examine pulses
283,An 18-year-old man involved in a hit-and-run presented to Emergency Room with multiple facial fractures and signs of severe brain injury. Which is the most appropriate next step?,Secure airway,Consult neurosurgery,Secure cervical spine,Minimize fluid resuscitation,surgery,Secure airway
284,Which of the following is a hard sign for vascular injury in a trauma patient?,Weak pulse,Palpable thrill,Skin color change,Extensive fractures,surgery,Palpable thrill
1346,"A 34-week pregnant woman at 33 weeks presents with recurrent UTIs, fever, rigors, loin pain. Most appropriate next step?",MRI pelvis,Ureteroscopy,Septic screening,Ultrasound urinary tract,obstetrics and gynecology,Septic screening
286,"A 23-year-old woman involved in a motor vehicle accident. After completing primary and secondary survey and preparing for transfer, her pregnancy test was positive. Which of the following most indicates Rh immunoglobulin administration?","Rh positive, and abdominal trauma","Rh negative, and abdominal trauma","Rh positive, and has a wrist fracture","Rh negative, and has a wrist fracture",surgery,"Rh negative, and abdominal trauma"
287,"A 42-year-old woman involved in a head-on collision arrived at the ER talking coherently. Vitals: BP = 90/60 mmHg, HR = 130/min, RR = 18/min. Exam: equal air entry bilaterally, ecchymosis on anterior chest wall, distended neck veins, soft and lax abdomen. Which is the most likely diagnosis?",Cardiac tamponade,Cardiac contusion,Massive hemothorax,Bilateral tension pneumothorax,surgery,Cardiac tamponade
288,"An 18-year-old man presented to a tertiary care hospital after being involved in a motor vehicle accident. Primary survey completed and he was stabilized. While preparing for transfer, his BP dropped to 60/40 mmHg. CT scan shows thoracic aortic injury and splenic laceration with free fluid in the abdomen. Which is the most appropriate transfer plan?",Angiography,Operating room for laparotomy,Operating room for thoracotomy,A center that has a vascular surgeon,surgery,Operating room for laparotomy
1347,A 30-year-old woman with PCOS presents with oligomenorrhea and hirsutism. Not trying to conceive. Best management?,Metformin,Spironolactone,Progesterone pills,Combined OCP,obstetrics and gynecology,Combined OCP
1348,A 39-year-old woman presents with menorrhagia. US confirms submucosal fibroid. What is the most likely location of fibroid causing heavy bleeding?,Cervical,Subserosal,Intramural,Submucosal,obstetrics and gynecology,Submucosal
1349,A 35-year-old P2002 presents with secondary amenorrhea for 8 months. Most appropriate first diagnostic step?,Pregnancy test,Pelvic ultrasound,Full history,Clinical examination,obstetrics and gynecology,Pregnancy test
1350,A 33-year-old woman with PCOS presents with oligomenorrhea and severe hirsutism. Best biochemical marker for hirsutism evaluation?,Testosterone,17-Hydroxyprogesterone,ACTH,Sex hormone-binding globulin,obstetrics and gynecology,Testosterone
1351,"A 22-week pregnant woman at 10 weeks presents with mild vaginal bleeding and suprapubic pain. Cervix closed, uterus consistent with dates. Most likely type of abortion?",Missed,Complete,Inevitable,Threatened,obstetrics and gynecology,Threatened
1352,A 32-year-old infertile woman with submucosal fibroid measuring 6 cm. Desires fertility preservation. Most appropriate management?,Hysteroscopic resection,Laparoscopic myomectomy,Laparoscopic hysterectomy,Open myomectomy,obstetrics and gynecology,Hysteroscopic resection
1353,A 37-year-old woman with 3 prior C-sections now undergoing elective cesarean at 37 weeks. Placenta found deeply adherent. Most likely diagnosis?,Placenta previa,Placenta increta,Placenta accreta,Placenta percreta,obstetrics and gynecology,Placenta accreta
1354,"A 29-week primigravida at 22 weeks presents with mild lower abdominal pain, short cervix, 1.5 cm dilation, membrane bulging. Most likely diagnosis?",Septic abortion,Threatened abortion,Incomplete abortion,Cervical incompetence,obstetrics and gynecology,Cervical incompetence
297,"A 42-year-old woman involved in a head-on collision arrived at the Emergency Room talking coherently. Vitals: BP = 90/60 mmHg, HR = 130/min, RR = 18/min. Exam: equal air entry bilaterally, ecchymosis on anterior chest wall, distended neck veins, soft and lax abdomen. Which is the most likely diagnosis?",Cardiac tamponade,Cardiac contusion,Massive hemothorax,Bilateral tension pneumothorax,surgery,Cardiac tamponade
298,"An 18-year-old man presented to a tertiary care hospital after being involved in a motor vehicle accident. Primary survey completed and he was stabilized. While preparing for transfer, his BP dropped to 60/40 mmHg. CT scan shows thoracic aortic injury and splenic laceration with free fluid in the abdomen. Which is the most appropriate next step?",Angiography,Operating room for laparotomy,Operating room for thoracotomy,A center that has a vascular surgeon,surgery,Operating room for laparotomy
299,An 18-year-old man presented to the Emergency Room with bleeding from a deep 10 cm anterior laceration of his right thigh. Which of the following is the most appropriate next step?,Apply tourniquet,Call a vascular surgeon,Put direct pressure on the wound,Put pressure on the femoral artery above the wound,surgery,Put direct pressure on the wound
300,A 17-year-old girl was admitted with a 20% burn and transferred to the burn unit for proper resuscitation. Which of the following goals most indicates that adequate resuscitation has been achieved?,Normalizing heart rate,Normalizing blood pressure,Urine output of 0.6 ml/kg/hr,Central venous pressure of 12,surgery,Urine output of 0.6 ml/kg/hr
301,The vascular surgeon was called to the Operating Room by the colorectal surgeon performing a low anterior resection for colon cancer who encountered uncontrollable pelvic bleeding. Which of the following is the most appropriate next step?,Do on-table angiogram,Heavily pack the pelvis,Infrarenal aortic clamp,Supraceliac aortic clamp,surgery,Heavily pack the pelvis
302,"The vascular surgeon was called to the Operating Room by the colorectal surgeon performing a low anterior resection for colon cancer who encountered pelvic bleeding that he could not control. The pelvis was packed and bleeding slowed, but the patient’s BP dropped to 60/40 mmHg. Which is the most appropriate next step?",Do on-table angiogram,Infrarenal aortic clamp,Supraceliac aortic clamp,Remove the packs and repair the injury,surgery,Supraceliac aortic clamp
303,A 56-year-old woman presents to the clinic with a non-healing ulcer over her right lateral malleolus. She is hypertensive but not diabetic. Which of the following is the most appropriate next step?,Venous duplex,Arterial Doppler US,Examine distal pulses,Do ankle brachial index,surgery,Examine distal pulses
304,"A 56-year-old woman presents to the clinic with a non-healing ulcer over her right lateral malleolus. She is hypertensive but not diabetic. Her pulse examination is normal, and local exam shows dark discoloration around the ulcer with a viable bed. Which is the most appropriate next step?",CT angiogram,Venous duplex US,Arterial Doppler US,Conventional angiogram/venogram,surgery,Venous duplex US
305,A 7-year-old girl presents with a vascular anomaly on her left cheek. Which of the following is the most likely diagnosis?,Hemangioma,Venous malformations,Arterio-venous fistula,Lymphatic malformations,surgery,Hemangioma
306,A 13-year-old girl presents with a vascular malformation of her left leg that has been growing over the years. Which of the following most indicates the need for treatment and intervention?,Pain,Claudication,Cosmetic reasons,Congestive heart failure,surgery,Congestive heart failure
307,A 38-year-old woman presents with swelling of her left leg gradually increasing over the last 3 months. No history of travel or surgeries in the last 6 months. Which of the following is the most important further history to obtain?,Smoking,History of trauma,Medication history,Family history of similar problems,surgery,History of trauma
308,"A 38-year-old woman presents with swelling of her left leg that is gradually increasing over the last 3 months, no history of travel, surgeries, or trauma over the last 6 months. Her distal pulses are palpable and her leg shows non-pitting edema with thickened skin and dark discoloration. Which of the following is the most appropriate next step in management?",CT angio,Conventional venogram,Venous duplex ultrasound,Magnetic resonant venography,surgery,Venous duplex ultrasound
309,"A 38-year-old woman presents with swelling of her left leg that is gradually increasing over the last 3 months, no history of travel or surgeries or trauma over the last 6 months, no family history of similar problems. Her distal pulses are palpable and her leg shows non-pitting edema with thickened skin and dark discoloration. Which of the following is the most appropriate diagnostic test?",Lymphoscintigraphy,Venous duplex ultrasound,Conventional angiography,Magnetic resonant venography,surgery,Lymphoscintigraphy
310,"A 38-year-old woman presents with swelling of her left leg that is gradually increasing over the last 3 months. No history of travel, surgeries, or trauma in the past 6 months. Distal pulses are palpable, and the leg shows non-pitting edema with thickened skin and dark discoloration. Which of the following is the most appropriate management?",Anticoagulation,Lymphatic bypass,Prophylactic heparin,Lymphatic massage and compression bandage,surgery,Lymphatic massage and compression bandage
311,"A 70-year-old man presents with abdominal pain. Examination reveals a pulsatile abdominal mass felt on deep palpation with mild tenderness just above the umbilicus. Labs: WBC elevated, others normal. Vitals stable. Which of the following is the most appropriate lab investigation to be ordered next?",Cl level,Amylase level,Calcium level,Arterial blood gas,surgery,Amylase level
312,"A 70-year-old man presents with abdominal pain. Exam reveals a pulsatile abdominal mass with mild tenderness. Labs show normal amylase and lipase. Imaging: No free air on chest X-ray, abdominal X-ray unremarkable. Which of the following is the most appropriate diagnostic test?",US abdomen,CT angiogram,MR angiography,Conventional angiography,surgery,CT angiogram
313,A 32-year-old man brought to the Emergency Department after being involved in a road traffic accident. He was diagnosed with massive intra-abdominal bleeding due to a severe splenic injury and underwent exploratory laparotomy and splenectomy. Which of the following is most likely to be low in the early postoperative period?,Insulin,Glucagon,Prolactin,Vasopressin,surgery,Insulin
314,A 27-year-old man admitted to the Intensive Care Unit 4 weeks ago with severe infected necrotizing pancreatitis. He underwent several interventions for sepsis control and drainage of collections. He is on mechanical ventilation and inotropes. Which of the following metabolic responses is most expected?,Reduced insulin resistance,Reduced gluconeogenesis,Increased lipolysis,Hypoglycemia,surgery,Increased lipolysis
315,A 38-year-old man known to have Crohn's disease presented to the Emergency Department with 8–12 episodes of diarrhea per day over the last 5 days. He is dehydrated; abdomen is distended with generalized muscle weakness. ECG shows flattened T-waves. Which of the following is the most likely electrolyte abnormality?,Hypomagnesemia,Hyponatremia,Hypocalcemia,Hypokalemia,surgery,Hypokalemia
316,"A 33-year-old man with known renal impairment underwent appendectomy for acute appendicitis. On post-op day 1, he complains of palpitations. Lab results: Potassium = 6.5 mmol/L. ECG shows tented T-waves. Which is the most appropriate initial step in management?",Intravenous infusion of dextrose with insulin,Intravenous infusion of sodium bicarbonate,Intravenous calcium gluconate,Immediate hemodialysis,surgery,Intravenous calcium gluconate
317,A 55-year-old woman with a history of chronic duodenal ulcer presents to the Emergency Department with frequent vomiting for 2 weeks. She is dehydrated with a distended upper abdomen and normal bowel sounds. Endoscopy shows severely narrowed pylorus due to chronic peptic ulcer disease. Which of the following is the most expected finding?,High urinary potassium,Respiratory alkalosis,Metabolic acidosis,Hypokalemia,surgery,Hypokalemia
318,"A 36-year-old man presented to the Emergency Department with right iliac fossa pain for 9 days, fever, and vomiting. Physical exam reveals a tender abdominal mass in the right iliac fossa. CT scan confirms an appendicular abscess measuring 15x18 cm. Which of the following is a characteristic pathophysiological feature of this condition?",Redistribution of blood flow,Peripheral vasoconstriction,Decreased cardiac index,Bradycardia,surgery,Redistribution of blood flow
319,"A 38-year-old man suffered from severe hypovolemic shock due to traumatic splenic injury and underwent splenectomy. He received 8 units of packed RBCs and was admitted to ICU. On post-op day 3, he became febrile. Blood Gram stain shows gram-negative bacilli. Which is the most likely source of bacteremia?",Contaminated blood,Urinary tract infection,Respiratory tract infection,Translocation from the bowel,surgery,Translocation from the bowel
320,"A 41-year-old man underwent blood transfusion for postoperative bleeding and developed site pain, fever, and chest tightness shortly after starting the transfusion. Temperature = 38°C. Which is the most likely diagnosis?",Febrile non-hemolytic reaction,Bacterial blood contamination,Hemolytic reaction,Allergic reaction,surgery,Hemolytic reaction
321,A 25-year-old man was brought to the Emergency Department unconscious with massive bleeding from a stab wound in the right thigh. He is pale with active bleeding. Hb = 89 g/L. Which of the following is the most important initial step in management?,Intravenous Ringer Lactate infusion,Tourniquet around the right thigh,Transfusion of fresh blood,Orotracheal intubation,surgery,Orotracheal intubation
322,A 37-year-old man with chronic duodenal ulcer presents to the Emergency Department complaining of frequent postprandial vomiting for the last 2 weeks. Physical exam shows dehydration and a positive succussion splash. Which of the following is the most expected acid-base abnormality?,Metabolic acidosis,Metabolic alkalosis,Compensated metabolic acidosis,Compensated metabolic alkalosis,surgery,Metabolic alkalosis
323,A 32-year-old man with ulcerative colitis presents with frequent watery diarrhea for 10 days and severe dehydration. Which of the following is the most expected acid-base abnormality?,Metabolic acidosis,Metabolic alkalosis,Compensated metabolic acidosis,Compensated metabolic alkalosis,surgery,Metabolic acidosis
324,A 67-year-old man with advanced antral carcinoma and liver metastasis presents with frequent vomiting for 10 days. He is jaundiced and dehydrated. ECG shows flattened T-waves. Which of the following is the most expected finding in urinalysis?,Aciduria,High sodium,High potassium,Alkaline urine,surgery,Aciduria
325,"A 35-year-old man with a history of open appendectomy presents with abdominal pain, distension, vomiting, and constipation for 3 days. Abdomen: distended with tenderness in the right iliac fossa and exaggerated bowel sounds. X-ray shows distended small bowel with multiple air-fluid levels and collapsed colon. Which of the following agents is contraindicated during anesthesia induction?",Propofol,Ketamine,Sevoflurane,Nitrous oxide,surgery,Nitrous oxide
1355,"A 27-week primigravida at 36 weeks presents with headache, blurred vision, BP = 160/110 mmHg, proteinuria ++. Most appropriate antihypertensive medication?",Clonidine,Methyldopa,Hydralazine,Sodium nitroprusside,obstetrics and gynecology,Hydralazine
1356,"A 39-week G6 P5005 at 22 weeks presents with BP = 140/90 mmHg, no proteinuria. Most appropriate treatment?",Methyldopa,Verapamil,Nifedipine,Hydralazine,obstetrics and gynecology,Methyldopa
1357,A 27-year-old woman presents to police with bruises all over her body. Main predictor of domestic violence?,Tobacco use,Second marriage,Personal bankruptcy,Marital dissatisfaction,obstetrics and gynecology,Marital dissatisfaction
1358,A 25-year-old newly married woman presents for routine gynecological exam. Most valuable diagnostic step?,Abdomen palpation,Vaginal inspection,General appearance,Pelvic digital exam,obstetrics and gynecology,Pelvic digital exam
1359,A 50-year-old woman with menorrhagia due to large fibroid preparing for elective hysterectomy. Most important step in consent process?,Listening carefully,Clear documentation,Exploration of feelings,Introduction about surgery,obstetrics and gynecology,Clear documentation
331,"A 21-year-old man was brought to the Emergency Department following a motorbike crash, complaining of difficulty in breathing. He is conscious, oriented, dyspneic with reduced breath sounds and tympanic percussion over the left hemithorax. BP = 90/55 mmHg, HR = 110/min. Which of the following is the most appropriate next step in management?",Plain chest X-ray,Endotracheal intubation and ventilation,Needle decompression of left hemithorax,Chest tube insertion in the left hemithorax,surgery,Needle decompression of left hemithorax
332,"A 20-year-old man was brought to the Emergency Department 20 minutes after a motor vehicle accident. Extremities are warm, he is conscious and oriented with clear chest and normal abdomen. BP = 90/40 mmHg, HR = 70/min. Which is the most likely type of shock?",Septic,Neurogenic,Cardiogenic,Hypovolemic,surgery,Neurogenic
333,A 25-year-old man was admitted through the Emergency Department complaining of a 5-day history of right iliac fossa pain. Physical exam confirms a tender mass in the right iliac fossa with sluggish bowel sounds. CT scan shows acute appendicitis with appendicolith and 10×15 cm abscess extending to the abdominal wall. Which is the most appropriate intervention?,Open drainage of the collection,Percutaneous drainage of the collection,Open appendectomy with drainage of the collection,Laparoscopic appendectomy with drainage of the collection,surgery,Percutaneous drainage of the collection
334,"A 33-year-old woman presented with a 1-day history of right upper quadrant abdominal pain associated with fever, nausea, and vomiting. Physical exam reveals marked tenderness in the RUQ. Ultrasound shows thick-walled gallbladder, pericholecystic fluid, and multiple gallstones. Which is the most appropriate management?",Early open cholecystectomy,Early laparoscopic cholecystectomy,Delayed cholecystectomy in 2–3 months,Emergency cholecystectomy tube insertion,surgery,Early laparoscopic cholecystectomy
335,A 28-year-old woman was admitted through the Emergency Department with a 12-hour history of epigastric pain. She recovered fully over 3 days. Lab results: Amylase = 250 IU/L. Ultrasound shows multiple gallstones and mild extrahepatic biliary dilation. Which is the most appropriate intervention?,Abdominal computed tomography,Cholecystectomy before discharge,Interval cholecystectomy in 6–8 weeks,Endoscopic retrograde cholangiopancreatography,surgery,Cholecystectomy before discharge
336,"A 38-year-old man with a history of recurrent acute pancreatitis presents with 12-hour history of vomiting fresh blood. IV fluids started. Endoscopy shows isolated bleeding fundal varices controlled with sclerotherapy. Ultrasound shows splenomegaly, normal portal vein, thrombosed splenic vein. Which is the most appropriate management?",Splenectomy,Portacaval shunt,Distal splenorenal shunt,Sengstaken-Blakemore tube,surgery,Splenectomy
337,"A 28-year-old woman presented to the Emergency Department with an 18-hour history of severe epigastric pain associated with vomiting. She is known to have multiple small gallstones. Physical examination confirmed upper abdominal tenderness. Labs: WBC = 13.4 x10⁹/L, Alk Phos = 289 IU/L, Amylase = 488 IU/L, Bilirubin elevated. Which of the following is the most appropriate initial management?",Abdominal ultrasound,Intravenous crystalloid infusion,Intravenous broad-spectrum antibiotics,Endoscopic retrograde cholangiopancreatography,surgery,Intravenous crystalloid infusion
338,"A 19-year-old woman complains of a 4-month history of a left breast mass. Breast examination confirms a well-circumscribed, firm, smooth, mobile lump in the lateral upper quadrant. Which of the following is the most likely diagnosis?",Sclerosis,Galactocele,Duct ectasia,Fibroadenoma,surgery,Fibroadenoma
339,"A 25-year-old breastfeeding mother presented with right breast pain for 24 hours. Examination shows tender swelling with redness, warm skin, no fluctuation. Which is the most appropriate initial management?",Aspiration,Flucloxacillin,Prolactin antagonist,Incision and drainage,surgery,Flucloxacillin
340,"A 65-year-old man presents with 8-hour history of sudden central abdominal pain and vomiting. Known cardiomyopathy. Labs: WBC = 26.7 x10⁹/L, Amylase = 155 IU/L. Abdomen soft with exaggerated bowel sounds. Which is the most likely diagnosis?",Acute pancreatitis,Small bowel obstruction,Dissecting aortic aneurysm,Mesenteric vascular occlusion,surgery,Mesenteric vascular occlusion
341,"A 58-year-old woman complains of a 4-month history of a right breast lump increasing in size, associated with bloody nipple discharge. Exam: 4 cm hard mass, ill-defined edges, inverted nipple, enlarged axillary lymph nodes. Mammogram shows subareolar irregular density with microcalcifications and skin thickening. What is the most appropriate next step?",Excisional biopsy,Needle core biopsy,Discharge cytology,Fine needle aspiration,surgery,Needle core biopsy
342,"A 68-year-old man admitted through ED with 24-hour history of sudden lower abdominal pain, distension, and constipation. Exam: huge distended abdomen, tender LLQ, empty rectum. WBC = 22 x10⁹/L. X-ray shows Y-shaped shadow with hugely distended colon. Which is the most appropriate intervention?",Fleet enema,Colonoscopy,CT with double contrast,Sigmoid colectomy with end colostomy,surgery,Sigmoid colectomy with end colostomy
460,A heavy smoker undergoing major surgery — which test best predicts post-op respiratory complications?,Chest X-ray,Bronchoscopy,Lung function test,Arterial blood gases,surgery,Lung function test
1360,A 36-week pregnant woman at 10 weeks gestation comes for dating scan. Which measurement has highest diagnostic value?,Femur length,Biparietal diameter,Crown-rump length,Abdominal circumference,obstetrics and gynecology,Crown-rump length
1361,"A 37-year-old primigravida with smoking history, subfertility, family history of diabetes. Which is a significant risk factor in her history?",Age,Smoking,Family history of diabetes,History of subfertility,obstetrics and gynecology,Smoking
1362,A 35-year-old woman comes for ultrasound to confirm gestational age. Most accurate timing for ultrasound dating?,11–13 weeks,20–22 weeks,26–28 weeks,32–34 weeks,obstetrics and gynecology,11–13 weeks
