id,question_text,option1,option2,option3,option4,question_type,correct_option,source
176,A 33-year-old woman with papillary thyroid cancer planned for total thyroidectomy has mitral valve prolapse with mild regurgitation. Which of the following is the most appropriate infection prophylaxis?,Amoxicillin to prevent endocarditis,Cefazolin to prevent wound infection,No indication for antibiotic prophylaxis,Administer both cefazolin and amoxicillin,surgery,No indication for antibiotic prophylaxis,general
177,"A 55-year-old obese, diabetic woman admitted with obstructed ventral hernia requires emergency exploration. Recently discharged after retinal detachment surgery. Which of the following is the most appropriate DVT prophylaxis?",Subcutaneous heparin,Mechanical prophylaxis,Subcutaneous enoxaparin,Enoxaparin and mechanical prophylaxis,surgery,Mechanical prophylaxis,general
178,A 65-year-old man with obstructing lower esophageal cancer is cachectic with >20% weight loss over 3 months. Pre-operative TPN is started. Which electrolyte abnormality is most expected?,Hypokalemia,Hypocalcemia,Hypernatremia,Hyperphosphatemia,surgery,Hypokalemia,general
179,"A 33-year-old woman underwent laparoscopic sleeve gastrectomy complicated by pulmonary embolism. Started on heparin infusion. After 5 days, platelet count drops to 59. Which of the following is the most appropriate management?",Stop heparin and start lepirudin,Increase IV heparin to reach PTT 60-70,Shift to subcutaneous therapeutic enoxaparin,Continue on same dose and repeat labs after 6 hours,surgery,Stop heparin and start lepirudin,general
180,"A 17-year-old man presented to Emergency Room with right lower quadrant pain and anorexia. Examination revealed tenderness and rebound tenderness at McBurney''s point. Heart rate 92 /min, Temperature 38.2 °C. WBC 21.3 x 10⁹/L. Abdominal X-ray shows a 1.5 cm radio-opaque area in the right iliac fossa. Which of the following is the most appropriate next step?",Appendectomy,Urgent urology consult,Non contrast CT abdomen,Ultrasound of the gall-bladder,surgery,Appendectomy,general
181,"A 44-year-old woman is admitted electively for laparoscopic cholecystectomy for chronic cholelithiasis. She is obese, diabetic and has sickle cell trait. Which of the following is most likely the type of her gallstones?",Mixed,Oxalate,Pigmented,Pure cholesterol,surgery,Mixed,general
182,"A 65-year-old man presented to Emergency Room with vague upper abdominal pain, loss of appetite, and weight loss. He is jaundiced; abdomen is soft and lax with a palpable non-tender gallbladder. Which of the following is the most likely diagnosis?",Liver cancer,Pancreatic cancer,Primary choledocholithiasis,Secondary choledocholithiasis,surgery,Pancreatic cancer,general
183,"A 75-year-old man admitted to Coronary Care Unit with acute MI complicated by bacterial pneumonia, on tazocin for 12 days. Examination shows severe RUQ tenderness. BP 100/60 mmHg, HR 96/min, Temp 38.3°C. Ultrasound shows distended gallbladder with thick wall and pericystic fluid, no gallstones. What is the most appropriate management?",ERCP drainage,Emergency cholecystectomy,Change tazocin to meropenem,US guided tube cholecystostomy drainage,surgery,US guided tube cholecystostomy drainage,general
184,"A 35-year-old woman presented to ER with vague upper abdominal pain, 7 days post elective cholecystectomy for cholelithiasis. She is jaundiced with mild RUQ tenderness. Labs: ALP elevated, total bilirubin borderline high, CBD measured 9 mm. What is the most likely diagnosis?",CBD injury,Retained CBD stone,Subhepatic collection,Slipped cystic duct clip,surgery,Retained CBD stone,general
185,"A 70-year-old woman, G7P1, with chronic constipation presented to Emergency Room with abdominal distension and vomiting. Examination revealed a distended, tympanic abdomen and a round, tender, non-reducible swelling in the right groin below and lateral to the pubic tubercle. X-ray abdomen shows distended small bowel with multiple fluid levels. Which of the following is the most likely diagnosis?",Femoral hernia,Direct inguinal hernia,Metastatic lymphnode,Indirect inguinal hernia,surgery,Femoral hernia,general
186,A 61-year-old man presented to Outpatient Clinic with general fatigue and mild anemia with stool mixed with streaks of blood for 4 months. He was pale; abdomen soft and lax. Digital rectal examination revealed 2nd degree piles. Lab results showed Hb = 8.3 g/L. Which of the following is the most likely diagnosis?,Cecal cancer,Rectal cancer,Sigmoid cancer,Chronically bleeding haemorrhoids,surgery,Cecal cancer,general
187,"A 52-year-old woman presented to Emergency Room with abdominal distension and vomiting. She has a history of ventral hernia repair with mesh 12 years ago. Examination revealed a distended abdomen, no tenderness, and no signs of hernia recurrence. X-ray abdomen: Dilated bowels with air/fluid levels. CT scan: Contrast cutoff at terminal ileum with soft tissue mass and target sign. Which of the following is the likely diagnosis?",Small bowel cancer,Adhesion to the mesh,Meckel's diverticulum,Late onset Crohn's disease,surgery,Small bowel cancer,general
188,"A 12-year-old boy is brought to the Emergency Room 30 minutes after accidentally ingesting bleach; vital signs are stable with maintained airway. He was kept NPO, started on IV fluids and broad-spectrum antibiotics. Vitals: BP 110/70 mmHg, HR 76/min, RR 18/min, Temp 36.6°C, O2 sat 95%. Which of the following is the most appropriate next step?",Induce emesis,Close observation,Water ingestion to dilute the bleach,Insert NGT and drain gastric content,surgery,Close observation,general
189,"An 18-year-old man involved in a burn accident has second-degree burns to both lower limbs. Weight is 70 kg. Using Parkland formula, which of the following is the most appropriate fluid resuscitation?",Lactated Ringer's 200 ml/hr for 24 hrs,Normal saline 1L bolus then 120ml/hr,Lactated Ringer's 5 L over first 6 hrs then 5 L over next 16 hrs,Lactated Ringer's 2.5 L over first 6 hrs then 2.5 L over next 16 hrs,surgery,Lactated Ringer's 5 L over first 6 hrs then 5 L over next 16 hrs,general
190,"A 45-year-old woman underwent thyroid ultrasound for hoarseness. Incidentally, a 2.3 cm solid hypoechoic nodule in the right thyroid lobe was found. TSH 2.3 pU/mL, Free T4 11.3 pmol/L. FNA: Follicular neoplasm, Bethesda Category IV. Which of the following is the most appropriate management?",Nodule excision,Hemithyroidectomy,Repeat US in 3 months,Radiofrequency ablation,surgery,Hemithyroidectomy,general
1316,"A 25-year-old pregnant woman at 20 weeks of gestation presented with twisted ovarian cyst, which needed an emergency laparotomy. The patient was explained about the condition, but she refused the surgery. Which of the following is the most appropriate action should be taken?",Accept her refusal,Force her for surgery,Inform a close relative,Take the consent from husband,obstetrics and gynecology,Accept her refusal,general
1317,A 31-year-old diabetic woman in active labor. Cardiotocography shows abnormal fetal heart tracing. What is the most appropriate next step in management?,Stop oxytocin,Face mask Oxygen,Inject tocolytic drug,Change the maternal position,obstetrics and gynecology,Change the maternal position,general
1318,A 35-year-old woman in active labour. Cardiotocography for fetal monitoring done. Which of the following is the most likely diagnosis?,Late deceleration,Early deceleration,Variable deceleration,Combined decelerations,obstetrics and gynecology,Late deceleration,general
1319,A 13-year-old girl presented with her mother with primary dysmenorrhea since her menarche a year ago. Which of the following is the best management?,Aspirin,Medroxyprogesterone,Oral contraceptive pills,Non-steroidal anti-inflammatory drug,obstetrics and gynecology,Non-steroidal anti-inflammatory drug,general
1320,A 24-year-old woman experienced sexual harassment in the workplace. Who is the most likely involved in such condition?,Employee,Co-worker,Supervisor,Potential client,obstetrics and gynecology,Supervisor,general
1321,A couple with infertility came to the clinic for follow-up. The investigations showed that the wife had bilateral blocked Fallopian tubes. Which of the following is the most appropriate step of the counseling process?,Inform wife,Inform husband,Inform the couple,Inform a close relative,obstetrics and gynecology,Inform the couple,general
197,"A 12-year-old boy had isolated blunt abdominal injury and is complaining of vague upper abdominal pain. Examination revealed the abdomen was soft with mild left upper quadrant tenderness. Vitals: BP 100/65 mmHg, HR 91/min, RR 18/min, Temp 37.3°C, O2 sat 97%. Lab results: Hb = 11.3 g/L, HCT = 0.39, Platelets = 238 x10⁹/L, WBC = 14.1 x10⁹/L. CT scan shows minimal pelvic fluid, 4 cm splenic tear with 7 cm subcapsular hematoma (Grade 3), no other abnormality. Which of the following is most appropriate management?",Close observation,Open splenectomy,Splenic preserving surgery,Percutaneous drainage of pelvic fluids,surgery,Close observation,general
198,"A 28-year-old man has a chronic history of episodes of sharp anal pain with defecation, occasionally associated with small amount of fresh blood. Examination revealed posterior anal fissure with skin tag. All conservative treatments have failed. Which of the following is the most appropriate surgical management?",Anal dilation,Lateral internal sphincterotomy,Lateral external sphincterotomy,Curettage of the fissure and excision of skin tag,surgery,Lateral internal sphincterotomy,general
199,A 55-year-old man presents to the clinic. He is a smoker with a long history of severe gastrointestinal reflux disease on proton pump inhibitors. His last endoscopy revealed lower esophageal redness and ulceration. Biopsy from lower esophagus: Squamous cells with high-grade dysplasia. Which of the following is the most appropriate therapeutic option?,Add ranitidine,Counsel to stop smoking,Repeat endoscopy after 6 months,Refer for possible esophageal resection,surgery,Refer for possible esophageal resection,general
200,"A 37-year-old P5+0 woman comes to the clinic. She has had Graves'' disease for 5 years; her condition is well-controlled with antithyroid medications, but trials of stopping medication have failed. Examination reveals she has severe exophthalmos. Ultrasound shows a hypervascular, homogeneous, normal-sized thyroid. Which of the following indicates thyroidectomy over radioactive iodine?",The patient's age,Severe exophthalmos,Hypervascular thyroid,Failure of medical treatment,surgery,Severe exophthalmos,general
201,Which of the following is most appropriate management of penetrating zone 3 neck vascular injury?,Vascular ligation,Open primary repair,Open vascular bypass,Endovascular intervention,surgery,Endovascular intervention,general
202,Which of the following is the most common location for blunt thoracic aortic injury?,Aortic arch,At the ligamentum arteriosum,Distal to left subclavian artery,Proximal to the left subclavian artery,surgery,At the ligamentum arteriosum,general
203,A 32-year-old man fell from his motorbike and broke his femur. Which of the following is most essential before reduction?,Give sedation,Give analgesia,Call the operating room,Examine his peripheral pulses,surgery,Examine his peripheral pulses,general
204,Which of the following is the most appropriate diagnostic gold standard in critical limb ischemia?,Ultrasound,CT Angiography,MR Angiography,Conventional angiography,surgery,CT Angiography,general
205,Which of the following is an absolute indication for treatment of vascular malformations?,Pain,Cosmesis,Claudication,Congestive heart failure,surgery,Congestive heart failure,general
206,Which of the following is the most appropriate strategy in managing medical risk factors in Peripheral Arterial disease?,Weight reduction,Aerobic exercise,Supervised exercise program,Non-supervised exercise program,surgery,Supervised exercise program,general
207,"A 40-year-old healthy woman presents to Emergency Room with a 4-hour history of sudden onset right lower limb pain. Her examination reveals intact femoral pulse but absent distal pulses, diminished sensory exam with an altered motor exam. Labs are normal. Vitals: BP 110/70 mmHg, HR 95/min, RR 18/min, Temp 36.6°C, O2 sat 98%. ECG shows atrial fibrillation. Which of the following is the most appropriate next step?",Heparin,Morphine,CT angiogram,Vascular ultrasound,surgery,Heparin,general
285,Which of the following is a hard sign for vascular injury?,Weak pulse,Audible bruit,Skin color change,Extensive fractures,surgery,Audible bruit,general
1322,"A 59-year-old woman attends to the clinic complaining of abnormal uterine bleeding for the last 2 months and concerned about her condition. She had the last menstrual cycle 12 years ago. On examination, the vagina is found to be pale with dry, smooth and shiny epithelium losing most of its rugation. Which of the following is the most probable cause of the condition?",Atrophy,Infection,Adenomyosis,Herbal or dietary supplementation,obstetrics and gynecology,Atrophy,general
1377,"A 67-year-old man presents with confusion, fever, diarrhea, poor oral intake, cold extremities, and BP = 83/45 mmHg. ECG shows sinus tachycardia and old inferior MI. Next step in management?",IV normal saline boluses,IV beta blockers,Nasogastric tube feeding,Dopamine infusion,surgery,IV normal saline boluses,general
1402,Which of the following preventive measures is recommended for traveler’s diarrhea?,Avoid beverage with ice,Eat only in clean restaurants,Drink government-supplied water only,Avoid raw vegetables and eat fruits only,medicine,Avoid beverage with ice,general
208,"A 40-year-old healthy woman presents to Emergency Room with a 4-hour history of sudden onset right lower limb pain. Examination reveals intact femoral pulse but absent distal pulses, diminished sensory exam with altered motor function. Labs are normal. Vitals: BP 110/70 mmHg, HR 95/min, RR 18/min, Temp 36.6°C, O2 sat 98%. ECG shows atrial fibrillation. Which of the following is the most appropriate management?",Femoral embolectomy,Above knee amputation,Catheter-directed thrombolysis,Heparinization and observation,surgery,Femoral embolectomy,general
209,"A 40-year-old healthy woman presents to Emergency Room with a 4-hour history of sudden onset right lower limb pain. Examination reveals intact femoral pulse but absent distal pulses, diminished sensory exam with altered motor function. Labs are normal. Vitals: BP 110/70 mmHg, HR 95/min, RR 18/min, Temp 36.6°C, O2 sat 98%. ECG shows atrial fibrillation. Which of the following is the most appropriate investigation?",CT angiogram,Vascular ultrasound,Conventional angiogram,Embolectomy with no imaging,surgery,Embolectomy with no imaging,general
210,"A 62-year-old man with known diabetes and hypertension presents with 4-hour history of sudden left leg pain. He has a prior history of claudication after walking 200 meters relieved by rest. Non-compliant with oral hypoglycemic and statin. Smoker for 40 years. On exam: Left femoral pulse present, popliteal and distal absent; Right leg: femoral and popliteal intact, distal diminished. Labs: Glucose = 10 mmol/L, HbA1c = 8%. ECG normal. Which of the following is the most appropriate investigation?",CT angiogram,Vascular ultrasound,Conventional angiogram,Magnetic resonance angiogram,surgery,CT angiogram,general
211,"A 62-year-old man with known diabetes and hypertension presents with 4-hour history of sudden left leg pain. He has a prior history of claudication after walking 200 meters relieved by rest. Non-compliant with medications and smokes for 40 years. Exam: Left femoral present, popliteal and distal absent; Right leg: femoral and popliteal intact, distal diminished. Labs: Glucose = 7 mmol/L. ECG normal. Which of the following is the most appropriate next step?",Heparin,Morphine,CT angiogram,Vascular ultrasound,surgery,Heparin,general
212,"A 62-year-old man with known diabetes and hypertension presents with a 4-hour history of sudden left leg pain. He had a history of left leg pain after walking 200 meters that made him stop and was relieved by rest. He is on oral hypoglycemic and statin but is not compliant with his medication. He has been smoking for the last 40 years. Pulse exam on the left shows present femoral, absent popliteal and distal pulses. Right leg: intact femoral and popliteal, diminished distal pulses. Labs are normal apart from elevated BSL. ECG is normal. Which of the following is the most appropriate management?",Catheter-directed thrombolysis,Femoral thrombectomy,Above knee amputation,Heparinization and observation,surgery,Catheter-directed thrombolysis,general
213,"A 62-year-old man with known diabetes and hypertension presents with a 4-hour history of sudden left leg pain. He had a history of left leg pain after walking 200 meters that made him stop and was relieved by rest. He is on oral hypoglycemic and statin but is not compliant with his medication. He has been smoking for the last 40 years. Pulse exam on the left shows present femoral, absent popliteal and distal pulses. Right leg: intact femoral and popliteal, diminished distal pulses. The patient had a successful thrombolysis with endovascular correction of a long stenosis segment. Labs show random glucose = 7 mmol/L. ECG is normal. Which of the following is the most common cause of death during his hospital stay?",Stroke,Bleeding,Pulmonary embolism,Myocardial infarction,surgery,Myocardial infarction,general
214,A 54-year-old man with known diabetes and heavy smoker presents with a history of classic vascular claudication of his left leg after walking 100 meters to the mosque. Pulse examination reveals intact pulses on the right leg and diminished distal pulses below the popliteal artery. Which of the following is the most appropriate way to improve his claudication distance?,Dual antiplatelet therapy,Supervised exercise program,Supervised smoking cessation,Aggressive blood sugar control program,surgery,Supervised exercise program,general
1323,"A 59-year-old woman attends to the clinic complaining of abnormal uterine bleeding for the last 2 months. She had the last menstrual cycle 12 years ago. On examination, vagina is noted to be pale, smooth and shiny dry epithelium along with loss of vaginal rugae. Ultrasound Scan: The endometrial lining is 15 mm thick, the uterus is average in size with no abnormality in shape. The ovaries are normal and no adnexal masses or free fluid detected. Which of the following is the most appropriate procedure at this stage?",MRI of the pelvis,Endometrial sampling,Diagnostic laparoscopy,Ultrasound guided biopsy,obstetrics and gynecology,Endometrial sampling,general
1324,A 59-year-old woman attends the clinic complaining of abnormal uterine bleeding for the last 2 months. She had the last menstrual cycle 12 years ago. An Ultrasound Scan was taken and endometrial sampling is planned. Ultrasound Scan: The endometrial lining is 15 mm thickness. Which of the following best describes a prerequisite for this procedure?,Admission,Verbal consent,Anesthesia clearance,Operating Room setting up,obstetrics and gynecology,Verbal consent,general
1325,"A 59-year-old woman attends for the first time to the clinic complaining of abnormal uterine bleeding for the last 2 months and she is extremely concerned about her condition. The last menstrual cycle was 12 years ago. The patient requests admission, preparation and booking for a hysterectomy. Which of the following is the most appropriate response?",Approve the request,Admit into the hospital to gain confidence,Discuss referring to an oncologist because of age and risk of malignancy,Calming her down and conduct a detailed informative discussion about best options of her care,obstetrics and gynecology,Calming her down and conduct a detailed informative discussion about best options of her care,general
218,A 62-year-old man presents with an incidental finding of a 4.5 cm abdominal aortic aneurysm and gallstones on an ultrasound done for biliary colic. The general surgeon decided to do a laparoscopic cholecystectomy and referred him to vascular surgery for an opinion. Which of the following is the most appropriate recommendation of the vascular surgeon?,Proceed with surgery and follow up with US,CT angiography before proceeding for surgery,Proceed with surgery and follow up with CT angiography,Conventional angiography before proceeding for surgery,surgery,CT angiography before proceeding for surgery,general
219,"A 72-year-old man known to have diabetes and hypertension presents with an ingrowing toenail. Vitals: BP 110/70 mmHg, HR 76/min, RR 18/min, Temp 36.6°C, O2 sat 99%, Height 160 cm, BMI 20 kg/m². Which of the following is the most appropriate step before operating on the toe?",Start antibiotics,Examine the other toes,Swab the toe for culture,Examine peripheral pulses,surgery,Examine peripheral pulses,general
458,Which agent is most likely to cause small bowel distension during anesthesia?,Nitrous oxide,Muscle relaxants,Depolarizing agents,Esophageal intubation,surgery,Nitrous oxide,general
1403,A 40-year-old man is planning to travel to Sudan for a short trip. Which of the following prophylactic medication is recommended for malaria prevention?,Chloroquine,Malaria vaccine,Atovaquone/proguanil,No need for prophylaxis,medicine,Atovaquone/proguanil,general
220,A 54-year-old man known to have diabetes and hypertension presents to the clinic with an ulcer over the right lateral malleolus for 3 months. Examination revealed intact distal pulses. Which of the following is the most appropriate next step?,MRA,CT angio,Conventional angio,Venous duplex of right lower limb,surgery,Venous duplex of right lower limb,general
221,"A 32-year-old woman presents with a 2-day history of right lower limb swelling, no history of trauma. Examination reveals bluish discoloration of the foot and intact distal pulses. Vitals: BP 110/70 mmHg, HR 90/min, RR 18/min, Temp 36.6°C, O2 sat 99%. Which of the following is the most appropriate next best step in diagnosis?",CT angio,CT venogram,Venous duplex,Arterial duplex,surgery,Venous duplex,general
1326,A 59-year-old woman attends to the clinic complaining of abnormal uterine bleeding for the last 2 months. All her investigations are normal and endometrial atrophy is the cause of her condition. The patient is not convinced and requesting a second opinion by another physician. Which of the following is the most appropriate response at this point?,Offer repeating the workup again,Perform further imaging studies to gain her trust,Provide a detailed medical report as it is her right,Convince her not to waste time by getting a second opinion,obstetrics and gynecology,Provide a detailed medical report as it is her right,general
1327,A 59-year-old woman attends to the clinic complaining of abnormal uterine bleeding for the last 2 months and concerned about her condition. She had the last menstrual cycle 12 years ago. An ultrasound scan was taken and endometrial polyp is suspected. Ultrasound Scan: 19 mm endometrial lining. Which of the following should be offered to the patient at this stage?,Endometrial ablation,Abdominal hysterectomy,Laparoscopic hysterectomy,Hysteroscopy and polypectomy,obstetrics and gynecology,Hysteroscopy and polypectomy,general
1328,A 59-year-old woman with a complaint of abnormal uterine bleeding for the last 2 months undergoes a procedure. What is the name of this procedure?,Cystoscopy,Hysteroscopy,Laparoscopy,Urethroscopy,obstetrics and gynecology,Hysteroscopy,general
1329,A 59-year-old woman undergoes a hysteroscopy secondary to her complaint of abnormal uterine bleeding for the last couple of months. Which of the following is the most likely diagnosis?,Adenomyosis,Endometriosis,Subserosal fibroid,Endometrial polyps,obstetrics and gynecology,Endometrial polyps,general
226,"A 55-year-old man, hypertensive with renal insufficiency, was fully evaluated for arteriovenous fistula creation. He has intact distal pulses and no history of trauma or vascular procedures on his non-dominant hand. Which of the following fistula types should be offered first?",Radio-cephalic,Brachio-basilic,Brachio-cephalic,Basilic vein transposition,surgery,Radio-cephalic,general
227,"A 50-year-old man post-kidney transplant, on steroid treatment for 2 years, underwent emergency exploratory laparotomy for intestinal obstruction. Which of the following is most likely to promote his wound healing?",Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,surgery,Vitamin A,general
228,A 45-year-old man had a laparoscopic cholecystectomy and developed a fever on the 3rd postoperative day. He had no abdominal pain. Temperature = 38.6 °C. Which of the following is the most likely diagnosis?,Chest infection,Wound infection,Urinary tract infection,Intra-abdominal abscess,surgery,Urinary tract infection,general
229,"A 45-year-old man farmer presented with history of right side abdominal pain, vomiting and fever. Examination confirmed tenderness in right upper quadrant. Temperature = 37.6°C. CT abdomen shows a calcified cyst 5x6 cm. Hydatid cyst (echinococcus) was confirmed. Which of the following is the most appropriate treatment?",Surgical excision,Administration of steroid,Percutaneous catheter drainage,Administration of metronidazole,surgery,Surgical excision,general
230,A 35-year-old man presents with history of dyspnea during sleep and swallowing discomfort for 4 months. He is a known case of asthma. Chest X-ray: Midline mass compressing trachea. Which of the following is the most likely diagnosis?,Goiter,Thymoma,Lymphoma,Lung cancer,surgery,Goiter,general
231,A 20-year-old woman presents with history of dysphagia that was more with liquid than solid. Which of the following is the most appropriate first investigation?,Barium swallow,Upper GI endoscopy,Ultrasound of chest,CT scan of the chest,surgery,Barium swallow,general
232,A 55-year-old woman complained of difficulty in breathing 6-hour post total thyroidectomy. Examination confirmed presence of large neck swelling. Which of the following is the most appropriate next step in management?,Tracheostomy,IV calcium gluconate,Epinephrine injection,Open the wound sutures in the ward,surgery,Open the wound sutures in the ward,general
233,A 20-year-old man presents to Emergency Department with renal colic. Which of the following is the most diagnostic imaging?,MRI abdomen,X-ray KUB region,CT scan abdomen,Ultrasound abdomen,surgery,CT scan abdomen,general
234,"A 4-year-old boy presented with history of pain above his right knee. Examination revealed swelling at distal femur, no limitation of knee movement. X-ray: 3x3 sclerotic bone lesion at distal femur. Which of the following is most likely diagnosis?",Osteosarcoma,Chondrosarcoma,Ewing's sarcoma,Periosteal sarcoma,surgery,Osteosarcoma,general
235,A 23-year-old military man presented to the clinic with history of bilateral groin swelling. Examination revealed bilateral inguinal hernia. Which of the following is the most appropriate treatment?,Observation,Open repair with mesh,Open repair without mesh,Laparoscopic repair with mesh,surgery,Laparoscopic repair with mesh,general
236,"A 50-year-old woman presented with a history of right upper quadrant pain for the last 5 months associated with jaundice for 4 days. Examination revealed an unwell patient with tender abdomen but no rebound tenderness. The patient was started on IV antibiotics. BP = 99/70 mmHg, HR = 100/min, Temp = 38°C. Ultrasound shows gallbladder stones, dilated common bile duct with stone. Which is the most appropriate treatment?",Lithotripsy,Open surgery,Laparoscopic cholecystectomy,Endoscopic retrograde cholangiopancreatography (ERCP),surgery,Endoscopic retrograde cholangiopancreatography (ERCP),general
237,"A 64-year-old man involved in a high-speed car crash was resuscitated initially in a small hospital with limited resources and has a head injury. It was decided to transfer him to a trauma center 40 km away. Vitals: BP = 110/70 mmHg, HR = 100/min, RR = 18/min, Temp = 36.6°C. Chest X-ray shows widened mediastinum with fractures of left ribs 2–5, no pneumothorax. Which is the most appropriate next step?",Insert chest tube,Intubate the patient,Perform diagnostic peritoneal lavage,Call the receiving hospital and speak to the surgeon on call,surgery,Call the receiving hospital and speak to the surgeon on call,general
238,"A 30-year-old man presented to the Surgical Clinic. While taking medical history, he begins explaining his perceptions of why he feels ill. The doctor wants more details about his symptoms and medical problems. Which is the most appropriate response?",Allow him to complete his thought,Inform him to change his appointment with another doctor,Tell him other patients are waiting outside and clinic is busy now,Politely interrupt him and continue with close-ended questions,surgery,Allow him to complete his thought,general
239,"A 22-year-old woman presented to the Surgery Clinic wearing revealing clothes, came up very close to the doctor, asked personal questions in a seductive tone, and used language different from that of the attending nurse. Which is the best response by the doctor?",Shout at her,Call security,Refer to another doctor,Call for another nurse who speaks the same language,surgery,Call for another nurse who speaks the same language,general
240,A 70-year-old man presented with a history of a skin lesion over the right cheek. Skin biopsy confirmed malignant melanoma. Which of the following is the best way to make the patient comply with medical advice?,The illness has serious symptoms,He believes you are professional and right,Explain pathophysiology using medical terminology,Take time to provide information and gain his trust,surgery,Take time to provide information and gain his trust,general
241,A 23-year-old woman presented to the Surgical Clinic with a 1x2 cm skin lesion on the left forearm since childhood. Which of the following is the most appropriate treatment?,Laser,Excision,Radiation,Follow-up,surgery,Excision,general
242,A 43-year-old man presented to the Surgical Clinic complaining of a dark-colored pigmented skin lesion on the upper thigh for a few months. Examination revealed a 3x4 cm dark-colored lesion on the anterior aspect of the right thigh with irregular borders and elevated above the skin. Which is the most appropriate next step in management?,Excision,Punch biopsy,Radiotherapy,Chemotherapy,surgery,Excision,general
243,A 47-year-old woman presented to the Emergency Department complaining of painful cord-like swelling in the calf of left leg for 48 hours. She has a history of varicose veins for 20 years. Which of the following is the most appropriate initial treatment?,Non-steroidal anti-inflammatory drugs,Clexane,Heparin,Antibiotics,surgery,Non-steroidal anti-inflammatory drugs,general
244,A 45-year-old man presents to the Emergency Department complaining of severe abdominal pain increasing in intensity. He underwent laparoscopic sleeve gastrectomy 3 weeks ago. Which of the following is the most appropriate diagnostic test?,Ultrasound Abdomen,Plain Abdominal X-ray,Diagnostic laparoscopy,CT scan abdomen with contrast,surgery,CT scan abdomen with contrast,general
245,A 45-year-old man presents to the Emergency Department complaining of severe abdominal pain increasing in intensity. He underwent laparoscopic sleeve gastrectomy 3 weeks ago. Which of the following is the most appropriate management?,Endoscopy,Exploration,Nil per mouth,Anticoagulation,surgery,Anticoagulation,general
246,A male newborn develops sudden respiratory distress. Chest radiograph shows hyperlucent left upper lobe with adjacent lobar compression and mediastinal shift to the right. Which of the following is the most appropriate treatment?,Intubation,Thoracotomy,Bronchoscopy,Thoracostomy,surgery,Thoracotomy,general
247,A 5-week-old boy presents with persistent progressive projectile vomiting. Which of the following is the most appropriate next step in management?,Anti-emetics,Normal saline,Ringer lactate,Potassium chloride,surgery,Normal saline,general
248,A 3-year-old boy presented to Emergency Department with progressive abdominal pain and vomiting. Examination revealed distended abdomen. Which of the following is the most appropriate initial management?,MRI abdomen,CT scan abdomen,Ultrasound abdomen,Plain abdominal X-ray,surgery,Ultrasound abdomen,general
249,A 10-month-old girl was brought by her family due to swelling in the umbilicus that becomes more obvious when she cries and disappears during sleep. Which of the following is the most appropriate management?,Follow up,Mesh repair,Simple repair,Laparoscopic repair,surgery,Follow up,general
1330,"A 60-year-old woman is complaining of abnormal genital bleeding. She describes the amount of bleeding has been scanty, spotting and just staining the pad. Which of the following would be the most likely source of bleeding?",Uterus,Ovarian source,Fallopian tubes,Lower genital tract,obstetrics and gynecology,Lower genital tract,general
1331,A 45-year-old woman is complaining of abnormal genital bleeding. Which of the following would highly suggest a uterine source of bleeding?,Color of the blood,Post-coital bleeding,Scanty vaginal bleeding,Profuse vaginal bleeding,obstetrics and gynecology,Profuse vaginal bleeding,general
1332,A 35-year-old woman is complaining of abnormal genital bleeding. Which of the following would suggest a cervical source of bleeding?,Post-coital bleeding,Heavy vaginal bleeding,Pain-associated bleeding,Color of bleeding contents,obstetrics and gynecology,Post-coital bleeding,general
1333,"A 26-year-old woman at 6 weeks gestation presents with mild pelvic pain and vaginal bleeding. Pelvis US shows thickened endometrium, minimal cul-de-sac fluid, right adnexal mass <3 cm. hCG = 1000 mIU/mL. Most appropriate management?",Mifepristone,Methotrexate,Salpingectomy,Salpingostomy,obstetrics and gynecology,Methotrexate,general
1334,A 6-year-old girl presents with vulvar itching and bloody vaginal discharge. Most likely diagnosis?,Candidiasis,Foreign body,Sexual abuse,Atrophic vaginitis,obstetrics and gynecology,Foreign body,general
1335,"A 55-year-old postmenopausal woman presents with vulvar irritation, urgency, frequency, watery discharge, and erythema. Most likely diagnosis?",Candidiasis,Trichomoniasis,Atrophic vaginitis,Bacterial vaginosis,obstetrics and gynecology,Atrophic vaginitis,general
1336,"A 22-year-old woman presents with headache, malaise, fever, and multiple bilateral painful anogenital vesicles. Most likely diagnosis?",Genital warts,Genital herpes,Genital mycoplasmas,Chlamydia trachomatis,obstetrics and gynecology,Genital herpes,general
1337,A 32-week pregnant woman with large genital warts on vulva. Most appropriate treatment?,Cryotherapy,Electrocautery,Podophyllin resin,Intralesional interferon,obstetrics and gynecology,Cryotherapy,general
1338,A 34-week pregnant woman with chlamydia. Most common neonatal infection acquired?,Eye,Ear,Liver,Lung,obstetrics and gynecology,Eye,general
1339,A 32-week pregnant woman with polyhydramnios presents with painful vaginal bleeding and uterine tenderness after ROM. Fetal bradycardia noted. Most likely diagnosis?,Vasa previa,Cord prolapse,Placenta previa,Abruptio placenta,obstetrics and gynecology,Abruptio placenta,general
1340,"A 23-week primigravida at 32 weeks presents with seizures, BP = 160/110 mmHg, proteinuria +++. Most appropriate treatment?",Steroids,Diuretics,Hydralazine,Magnesium sulfate,obstetrics and gynecology,Magnesium sulfate,general
