"id","question_text","option1","option2","option3","option4","question_type","correct_option"
479,"Where is basal cell carcinoma most commonly located?","Face","Breast","Lower limb","Upper limb","surgery","Face"
480,"A young man presents with a soft, movable right mid-thigh lump with positive fluctuation test. Overlying skin normal. Most likely diagnosis?","Lipoma","Sarcoma","Aneurysm","Sebaceous cyst","surgery","Lipoma"
481,"A 40-year-old man presents with 3-day history of diffuse abdominal pain and Grey Turner’s sign. Most likely diagnosis?","Acute porphyria","Mesenteric ischemia","Necrotizing pancreatitis","Ruptured aortic aneurysm","surgery","Necrotizing pancreatitis"
482,"An elderly man presents for follow-up after sustaining a road traffic accident 3 days ago. On examination, ""Battle sign"" is noted. Which of the following is the most likely cause?","Le Fort fracture","Mandibular fracture","Fracture base of skull","Fracture middle cranial fossa","surgery","Fracture base of skull"
483,"A 50-year-old man becomes disoriented on the 4th post-operative day after abdominal aortic aneurysm repair. BP = 90/40 mmHg, HR = 140/min, RR = 36/min, Temp = 36.6°C, warm peripheries, oliguria. What type of shock is most likely?","Septic","Cardiogenic","Hemorrhagic","Anaphylactic","surgery","Septic"
484,"A 20-year-old man hit by a car 2 hours ago has distended, tender abdomen. BP = 100/70 mmHg, HR = 120/min, RR = 30/min, Temp = 35°C, O2 sat = 90%. Most likely type of shock?","Spinal","Cardiogenic","Hemorrhagic","Anaphylactic","surgery","Hemorrhagic"
485,"A 30-year-old man hit by a truck 4 hours ago has raised JVP and muffled heart sounds. BP = 90/60 mmHg, HR = 140/min, RR = 32/min, O2 sat = 85%. Most likely type of shock?","Septic","Cardiogenic","Hemorrhagic","Anaphylactic","surgery","Cardiogenic"
486,"A 20-year-old patient complains of painless fresh rectal bleeding over the last 6 months. Most likely diagnosis?","Anal fissure","Hemorrhoids","Perianal fistula","Perianal abscess","surgery","Hemorrhoids"
487,"A 40-year-old diabetic presents with painful perianal swelling and fever for 3 days. Labs: WBC = 16 x10⁹/L, glucose = 6.5 mmol/L. Most likely diagnosis?","Anal fissure","Hemorrhoids","Perianal abscess","Thrombosed piles","surgery","Perianal abscess"
488,"A 50-year-old man developed large neck swelling with stridor and shortness of breath 5 hours post total thyroidectomy. Most appropriate next step?","Tracheostomy","Close observation","Percutaneous drainage","Bedside wound exploration","surgery","Bedside wound exploration"
489,"A 60-year-old man noticed swelling at laparoscopic hernia repair site 5 days post-op. Swelling not red or hot, mildly tender. Most likely diagnosis?","Seroma","Hematoma","Recurrence","Wound infection","surgery","Seroma"
490,"A 32-year-old man developed severe suprapubic pain and urinary retention 5 hours after hemorrhoidectomy. Most likely cause?","Dehydration","Urethral injury","Inadequate analgesia","Post-operative hematoma","surgery","Inadequate analgesia"
491,"A 52-year-old woman presents with rapid enlargement of a neck mass and weight loss. Long-standing Hashimoto's thyroiditis. Most likely diagnosis?","Hemorrhagic goiter","Thyroid lymphoma","Papillary carcinoma","Subacute thyroiditis","surgery","Thyroid lymphoma"
492,"A 56-year-old woman presents with muscle and bone ache, abdominal cramps relieved by cold milk. Lab results: Hypercalcemia, low phosphate, high PTH, low vitamin D. Most likely diagnosis?","Milk alkali syndrome","Idiopathic hypercalcemia","Primary hyperparathyroidism","Secondary hyperparathyroidism","surgery","Primary hyperparathyroidism"
493,"A 36-year-old man sustained stab wound to left neck below cricoid cartilage (Zone I). Subcutaneous emphysema present. Most appropriate next step?","Neck exploration","Close observation","CT neck and chest","Interventional radiology embolization","surgery","CT neck and chest"
494,"A 57-year-old hypertensive man with non-specific lower abdominal pain. CT shows 5 cm lipid-rich adrenal mass. Most appropriate management?","Adrenal MRI","No intervention indicated","Laparoscopic adrenalectomy","Image-guided adrenal biopsy","surgery","No intervention indicated"
495,"A 37-year-old man presents with 2-day history of RUQ pain and vomiting. Fever, rebound tenderness. Ultrasound shows thickened gallbladder with stones. Most appropriate management?","Laparoscopic cholecystectomy","Percutaneous cholecystostomy","Exploratory laparotomy with cholecystectomy","ERCP","surgery","Laparoscopic cholecystectomy"
496,"A 65-year-old man with hepatitis C presents with 3-month RUQ pain, weight loss, elevated AFP. CT shows hypervascular liver lesion. Most likely diagnosis?","Hamartoma","Cholangiocarcinoma","Hepatocellular adenoma","Hepatocellular carcinoma","surgery","Hepatocellular carcinoma"
497,"Which is the most appropriate initial treatment for liver amoebic abscess?","Metronidazole","Open drainage","Percutaneous drainage","Percutaneous aspiration","surgery","Metronidazole"
498,"A 37-year-old man with 10-day history of frequent vomiting shows ECG changes (flattened T-waves). Most likely acid-base abnormality?","Metabolic acidosis","Metabolic alkalosis","Compensated metabolic acidosis","Compensated metabolic alkalosis","surgery","Metabolic alkalosis"
499,"A 32-year-old man with 2-week history of watery diarrhea, dehydration, tachycardia, hypotension. Most likely acid-base abnormality?","Metabolic acidosis","Metabolic alkalosis","Compensated metabolic acidosis","Compensated metabolic alkalosis","surgery","Metabolic acidosis"
500,"A 43-year-old woman, 5 weeks post acute pancreatitis, now presents with epigastric pain and postprandial vomiting. CT shows cystic collection posterior to stomach. Most likely pancreatic pathology?","Cancer","Abscess","Necrosis","Pseudocyst","surgery","Pseudocyst"
501,"Which condition is most commonly cured by splenectomy?","Beta-thalassemia","Alpha-thalassemia","Sickle cell trait","Idiopathic thrombocytopenic purpura","surgery","Idiopathic thrombocytopenic purpura"
502,"A 25-year-old undergoing appendectomy could not locate appendix. Best way to localize?","Follow terminal ileum","Palpate ileocecal valve","Look for confluence of taenia coli","Follow right colic artery","surgery","Look for confluence of taenia coli"
503,"A 29-year-old woman 4 months post parathyroidectomy presents with fatigue, myalgia, constipation. Labs: Ca = 2.78 mmol/L, PTH = 8 pmol/L. Most likely cause?","New adenoma","Missed adenoma","Parathyroid cancer","Parathyroid hyperplasia","surgery","Missed adenoma"
504,"A 39-year-old woman presents with 3-day history of central abdominal pain, nausea, and vomiting. She underwent laparoscopic sleeve gastrectomy 6 years ago. Exam: dehydrated, distended abdomen, exaggerated bowel sounds. Most likely cause?","Adhesions","Internal hernia","Intussusception","Incisional hernia","surgery","Adhesions"
505,"Which is the most effective way to minimize excessive scar formation?","Pre-operative steroid","Elimination of wound tension","Post-operative topical steroid","Closure with subcuticular suture","surgery","Elimination of wound tension"
506,"Which factor is most important for small bowel adaptation?","Prolonged TPN","Enteral feeding","Parietal cell vagotomy","Reversal of jejunal limb","surgery","Enteral feeding"
507,"A 62-year-old man presents with sudden epigastric pain radiating to back. Has IHD on Plavix and aspirin. Erect chest X-ray shows free air under diaphragm. Most likely diagnosis?","Gallstone disease","Acute pancreatitis","Perforated peptic ulcer","Gastric outlet obstruction","surgery","Perforated peptic ulcer"
508,"A 23-year-old man sustained closed right tibia-fibula fracture in MVA. Complains of pain and numbness. Dorsalis pedis and posterior tibial pulses absent. BP = 120/70 mmHg. Most appropriate management?","Fasciotomy","Angiography","Leg elevation and splint","Anticoagulation therapy","surgery","Fasciotomy"
509,"A 28-year-old undergoing laparoscopic cholecystectomy develops heart rate of 40 bpm after pneumoperitoneum. Most likely cause?","Overhydration","Cold gas insufflation","Increased venous return","Rapid stretching of parietal peritoneum","surgery","Rapid stretching of parietal peritoneum"
510,"A 35-year-old brought to primary care hospital with tension pneumothorax and compound femoral fracture. After chest tube and splinting, oxygen saturation drops during transfer. Most appropriate action?","Proceed with transfer","Perform RSI intubation","Check femoral deformity for bleeding","Check chest tube for place and patency","surgery","Check chest tube for place and patency"
511,"A 25-year-old woman presents with a 10x12 cm firm mobile breast mass. Biopsy: malignant phyllodes tumor. Next step in management?","Wide local excision","Whole body PET scan","Contrast CT scan of chest","Immunohistochemistry for hormone receptors","surgery","Contrast CT scan of chest"
512,"A 47-year-old woman with family history of breast cancer. Mammogram shows lesion at lower outer quadrant. Core biopsy: Atypical ductal hyperplasia. Most appropriate next step?","Simple mastectomy","Wire localization excision","Chemoprevention therapy","6-month follow-up mammography","surgery","Wire localization excision"
513,"A 65-year-old woman with IHD on Plavix and aspirin presents with perforated viscus. Laparotomy confirms perforated anterior duodenal ulcer. Most appropriate management?","Partial gastrectomy","Gastrojejunostomy","Closure with omental patch","Selective truncal vagotomy","surgery","Closure with omental patch"
514,"A 38-year-old man with pelvic fracture and blood at urethral meatus. Retrograde urethrogram shows retroperitoneal injury. Most appropriate next step?","Urethroscopy","Foley catheter","Laparoscopic repair","Suprapubic cystostomy","surgery","Suprapubic cystostomy"
515,"A 25-year-old with blunt chest trauma has paradoxical chest movement. HR = 96/min, RR = 35/min, SpO₂ = 84%. X-ray shows multiple rib fractures. Initial management?","Fluid resuscitation","Assisted ventilation","Needle decompression","Thoracostomy chest tube","surgery","Assisted ventilation"
516,"A 9-year-old child with blunt abdominal trauma. CT shows 2 cm splenic laceration with perisplenic fluid. Vitals stable. Hb = 110 g/L. Most appropriate management?","Non-operative","Laparoscopic splenectomy","Laparotomy and splenorrhaphy","Transfuse 2 units packed RBCs","surgery","Non-operative"
517,"A 28-year-old underwent resection of terminal ileum for IBD. Which nutrient should be replaced parenterally?","Iron","Zinc","Bile salts","Vitamin B12","surgery","Vitamin B12"
518,"A 48-year-old woman presents with central abdominal pain. Endoscopy reveals 5 cm gastric mass. Biopsy: GIST. Most appropriate management?","Total gastrectomy","Wide local excision","Partial gastrectomy","Enucleation of the lesion","surgery","Wide local excision"
519,"In compartment syndrome of the lower limb, earliest symptom is severe pain. What is the mechanism?","Skin hypoxia","Bone ischemia","Nerve hypoxia","Muscle engorgement","surgery","Nerve hypoxia"
520,"Which finding has the highest diagnostic value for inhalation injuries?","Tachypnea","Voice hoarseness","Low oxygen saturation","Carbonaceous sputum","surgery","Carbonaceous sputum"
521,"A 67-year-old man with IHD presents with 24-hour severe central abdominal pain. Labs show leukocytosis, elevated amylase, metabolic acidosis. X-ray shows dilated small bowel. Most likely diagnosis?","Acute pancreatitis","Intestinal obstruction","Perforated duodenal ulcer","Mesenteric vascular occlusion","surgery","Mesenteric vascular occlusion"
523,"A 50-year-old diabetic man with unhealed foot ulcer for 5 years. Biopsy: pseudoepitheliomatous hyperplasia. Most appropriate management?","Repeat biopsy","First toe amputation","Surgical debridement","Negative pressure dressing","surgery","Repeat biopsy"
524,"A 32-year-old had forearm skin contracture excision 1 year ago. Now presents with overgrowth beyond scar margins. Most accurate description?","Keloid","Scar fibrosis","Desmoid tumor","Scar hypertrophy","surgery","Keloid"
525,"A 53-year-old man on anticoagulants presents with sudden RLQ pain. There is tender mass that becomes more prominent with contraction. CT shows enhancing rectus mass. Most appropriate management?","Surgical excision","Rest and analgesia","Fresh frozen plasma","Angiography with embolization","surgery","Rest and analgesia"
526,"A 58-year-old woman presents with a right thigh mass measuring 5x6 cm. Core biopsy confirms high-grade sarcoma. Which is the most appropriate staging investigation?","Bone scan","MRI abdomen","Chest CT scan","Right thigh plain X-ray","surgery","Chest CT scan"
527,"Which of the following is the most appropriate biopsy for limb sarcoma?","Incisional","Excisional","Core needle","Fine needle aspiration","surgery","Core needle"
528,"A 44-year-old man presents with 6-month vague central abdominal pain. CT shows 20x10 cm retroperitoneal mass. No lymphadenopathy. Most likely diagnosis?","Lymphoma","Liposarcoma","Germ cell tumor","Metastatic testicular tumor","surgery","Liposarcoma"
529,"A 30-year-old man hit by truck 4 hours ago has raised JVP and muffled heart sounds. BP = 90/60 mmHg, HR = 140/min, SpO₂ = 85%. Type of shock?","Septic","Cardiogenic","Hemorrhagic","Anaphylactic","surgery","Cardiogenic"
530,"A 20-year-old patient complains of painless rectal bleeding over the last 6 months. Most likely diagnosis?","Anal fissure","Hemorrhoids","Perianal fistula","Perianal abscess","surgery","Hemorrhoids"
532,"A 20-year-old primigravida reports sharp, persistent anal pain post defecation with fresh bleeding. Denies swelling or fever. Most likely diagnosis?","Anal fissure","Hemorrhoids","Perianal abscess","Thrombosed piles","surgery","Anal fissure"
533,"A 50-year-old hypertensive diabetic presents with perianal swelling and discharge. Two months ago, a small swelling ruptured. Most likely diagnosis?","Anal fissure","Perianal fistula","Perianal abscess","Thrombosed piles","surgery","Perianal fistula"
534,"A 30-year-old multigravida mother presents with severe perianal pain, swelling, and constipation. Exam shows irreducible, tender anal cushions. Most likely diagnosis?","Anal fissure","Anal carcinoma","Perianal abscess","Thrombosed piles","surgery","Thrombosed piles"
535,"A 36-year-old man presents with constipation and severe anal pain on examination. Linear cracks at 6 and 12 o'clock. Most likely diagnosis?","Anal fissure","Perianal fistula","Solitary rectal ulcer","Intersphincteric abscess","surgery","Anal fissure"
536,"A 65-year-old diabetic presents with 4-day history of severe perianal pain, fever, posterior bogginess on DRE with purulent discharge. Most likely diagnosis?","Perianal fistula","Ulcerative colitis","Intersphincteric abscess","Condylomata acuminata","surgery","Intersphincteric abscess"
537,"A 30-year-old man presents with 2-year history of perianal itching and discomfort. Perianal exam reveals clustered cauliflower-like lesions. Most likely diagnosis?","Anal carcinoma","Rectal carcinoma","Fibroepithelial polyps","Condylomata acuminata","surgery","Condylomata acuminata"
538,"A 65-year-old man with weight loss and change in bowel habits. Proctoscopy reveals friable, cauliflower-like lesion 2 cm from anal verge. Most likely diagnosis?","Anal carcinoma","Rectal carcinoma","Fibroepithelial polyps","Condylomata acuminata","surgery","Rectal carcinoma"
539,"A 25-year-old man presents with 2-week history of severe perianal pain and inability to pass stool. History of hemorrhoidectomy. Digital exam not possible due to pain. Most likely diagnosis?","Anal fissure","Anal stenosis","Anal carcinoma","Intersphincteric abscess","surgery","Anal stenosis"
540,"A 20-year-old weightlifter presents with bilious vomiting and abdominal distension. Left inguinal swelling firm and tender. X-ray shows multiple air-fluid levels, no air in large bowel. Most likely type of hernia?","Obstructed","Irreducible","Incarcerated","Strangulated","surgery","Obstructed"
541,"A 25-year-old man brought to ED with penetrating chest injury and now collapsed. BP = 90/60 mmHg, HR = 140/min, raised JVP, weak pulse. Most likely diagnosis?","Flail segment","Pneumothorax","Cardiac tamponade","Pulmonary contusions","surgery","Cardiac tamponade"
542,"A young man hit in the chest while playing football presents with dyspnea, drowsiness, tracheal shift left, and absent breath sounds on right. BP = 80/50 mmHg. Most likely diagnosis?","Flail segment","Cardiac tamponade","Pulmonary contusions","Tension pneumothorax","surgery","Tension pneumothorax"
543,"A 70-year-old alcoholic presents with progressive dysphagia and weight loss. Pale, cachectic, altered rectal stool. Labs: Hb = 90 g/L. Most likely diagnosis?","Pancreatic cancer","Esophageal cancer","Acid peptic disease","Duodenal perforation","surgery","Esophageal cancer"
544,"A 40-year-old alcoholic smoker presents with 4-hour history of severe epigastric pain radiating to back. Abdomen distended, tense, tender. DRE: empty rectum. Most likely diagnosis?","Pancreatitis","Pneumothorax","Duodenal perforation","Acalculous cholecystitis","surgery","Duodenal perforation"
545,"A 55-year-old man with 2-year recurrent upper abdominal pain, worsened by morphine. Labs: elevated direct bilirubin, ALP. Ultrasound shows dilated CBD and minimal intrahepatic duct dilation. Most likely diagnosis?","Pancreatic cancer","Biliary colic","Cholecystitis","Sphincter of Oddi dysfunction","surgery","Sphincter of Oddi dysfunction"
546,"A 20-year-old woman recently had an infant and has recurrent episodes of upper abdominal pain since the third trimester. Pain radiates to back with nausea. Abdomen soft and non-tender. Palpable 8x8 cm epigastric mass. Lab: Lipase = 250 IU/L. Most likely diagnosis?","Hydatid cyst","Gallbladder mucocele","Pancreatic pseudocyst","Gastrointestinal stromal tumor","surgery","Pancreatic pseudocyst"
547,"A 30-year-old patient presents to ED with 8-hour history of severe upper abdominal pain, jaundice, and right hypochondriac tenderness. Recurrent attacks over last year relieved by antispasmodics. Labs: WBC = 16 x10⁹/L, Direct bilirubin = 15 µmol/L, Total bilirubin = 20 µmol/L, ALP = 400 IU/L, Amylase = 115 IU/L. US shows CBD = 1.1 cm and dilated intrahepatic ducts. Most likely diagnosis?","Hepatitis","Cholangitis","Pancreatitis","Cholecystitis","surgery","Cholangitis"
548,"A 45-year-old man presents with recurrent upper abdominal pain, fever, and jaundice. BP = 90/60 mmHg, HR = 130/min. Labs: Direct bilirubin = 20 µmol/L, Total bilirubin = 25 µmol/L, ALP = 450 IU/L, Amylase = 1400 IU/L. Ultrasound shows CBD = 1.4 cm and dilated intrahepatic ducts. Most likely diagnosis?","Hepatitis","Cholangitis","Pancreatitis","Acute cholecystitis","surgery","Pancreatitis"
549,"A 20-year-old woman presents with a breast lump in the right lower quadrant for 2 years that has grown to 8x10 cm. Mobile, not attached to muscle, thinned skin. Most likely diagnosis?","Mastitis","Phyllodes tumor","Galactocele","Fibroadenoma","surgery","Phyllodes tumor"
550,"A 30-year-old patient brought to ED after being shot in chest. Left tube thoracostomy placed; 2 liters blood collected in 15 minutes. BP = 90/60 mmHg, HR = 120/min. Most appropriate management?","Thoracotomy","CT scan chest","Tube thoracostomy","Angiographic embolization","surgery","Thoracotomy"
551,"A 5-year-old child stabbed in the right lower chest. Abdomen distended. FAST exam suggestive of free fluid. Vitals stable. Most appropriate management?","Thoracotomy","Tube thoracostomy","Exploratory laparotomy","Angiographic embolization","surgery","Exploratory laparotomy"
552,"A 66-year-old man post anterior rectal resection complains of left calf pain at night. Exam: tender, swollen calf. Doppler confirms DVT extending from popliteal to common femoral vein. Most appropriate management?","Heparin","Warfarin","IVC filter","Enoxaparin","surgery","Enoxaparin"
553,"A 12-year-old boy presents after fall with supracondylar fracture. Distal pulses not palpable. BP = 110/70 mmHg, HR = 120/min. Most appropriate management?","Early K-wire","Hand elevation","Watchful waiting","Surgical exploration","surgery","Surgical exploration"
554,"A 5-month-old baby admitted with inability to tolerate food and non-bilious vomiting. Dehydrated. Olive-shaped epigastric mass. Most appropriate management?","Pyloromyotomy","Balloon dilatation","Gastrojejunostomy","","surgery","Pyloromyotomy"
555,"A 45-year-old man complains of bilateral groin swelling for 6 months. Small bilateral inguino-scrotal swellings with positive cough impulse. Abdomen soft and non-tender. Most appropriate management?","Herniotomy","Lichtenstein repair","Laparoscopic mesh repair","Biological mesh placement","surgery","Laparoscopic mesh repair"
556,"A 5-month-old baby presents with bilateral groin swelling present since birth. Swellings become prominent on crying. Soft abdomen. Most appropriate management?","Herniotomy","Lichtenstein repair","Laparoscopic mesh repair","Biological mesh placement","surgery","Herniotomy"
557,"A 42-year-old woman presents with recurrent upper abdominal pain and high-grade fever. Jaundiced, right hypochondriac tenderness. Labs: WBC = 20 x10⁹/L, Bilirubin elevated, ALP = 250 IU/L, Amylase = 100 IU/L. Most appropriate management?","CBD exploration","Laparoscopic cholecystectomy","Percutaneous cholecystostomy","ERCP","surgery","ERCP"
558,"A 45-year-old woman presents with perianal swelling, fresh bleeding, and weight loss. Mass 1 cm from anal verge. Biopsy: Adenocarcinoma. MRI shows localized lesion with lymphadenopathy. CT chest: no metastasis. Most appropriate treatment?","Diversion colostomy","Low anterior resection","Concurrent chemoradiation","Abdominoperineal resection","surgery","Concurrent chemoradiation"
559,"A 30-year-old woman presents with a 15x15 cm growing breast mass in RUQ. Mobile, no attachment to muscle, thinned skin. US shows solid mass with cystic spaces and posterior enhancement. Most appropriate management?","Radiation therapy","Simple mastectomy","Neoadjuvant chemotherapy","Modified radical mastectomy","surgery","Simple mastectomy"
560,"A young woman underwent laparoscopic cholecystectomy 1 day ago. Now has decreased breath sounds in lower chest. O2 sat = 90%. Most appropriate management?","IV antibiotics","Bronchodilators","Ultrasound chest","Incentive spirometry","surgery","Incentive spirometry"
561,"A 25-year-old man, 8 days post open appendectomy for perforated appendix, returns with wound pain, redness, and purulent discharge. BP = 110/70 mmHg, Temp = 38°C. Most appropriate management?","IV antibiotics","Open drainage","CT scan abdomen","Exploratory laparotomy","surgery","Open drainage"
562,"A 55-year-old man underwent open appendectomy for perforated appendix. On 6th post-op day, presents with severe abdominal pain, distension, and inability to pass stool. Wound discharging feculent material with signs of peritonitis. Labs: pH = 7.25, HCO₃⁻ = 10 mmol/L, BE = -12 mmol/L. US shows moderate ascites with septations. Most appropriate management?","Wound care","IV antibiotics","CT scan abdomen","Exploratory laparotomy","surgery","Exploratory laparotomy"
563,"A 45-year-old diabetic man underwent laparotomy for diverticular perforation. On 4th post-op day, developed high fever and chills. Wound healthy, chest clear. DRE reveals anterior bogginess. Most appropriate treatment?","IV antibiotics","IV paracetamol","Abdominal cavity washout","Ultrasound-guided drainage","surgery","Ultrasound-guided drainage"
564,"A 55-year-old man underwent Graham's patch repair for perforated duodenal ulcer 10 days ago. Now has low-grade fever. Blood cultures show gram-positive cocci. Decreased breath sounds on right lower chest. Most appropriate treatment?","Chest physiotherapy","Removal of central line","Abdominal cavity washout","Ultrasound-guided drainage","surgery","Removal of central line"
565,"A patient post-cholecystectomy presents with pyrexia, healthy wound, mild RUQ tenderness, and decreased breath sounds on right chest. Ultrasound shows 10x15 cm collection in gallbladder fossa. Most appropriate management?","IV antibiotics","Chest physiotherapy","Ultrasound-guided drainage","ERCP","surgery","Ultrasound-guided drainage"
566,"A 25-year-old returns 8 days post-appendectomy with seroma draining from gaping wound, no inflammation. Vitals stable. Most appropriate treatment?","Antibiotics","CT scan abdomen","Regular wound dressings","Ultrasound-guided drainage","surgery","Regular wound dressings"
567,"Which hormone is most involved in neuro-hormonal stress response after trauma?","Androgen","Parathyroid","Thyroid stimulating","Corticotrophin releasing","surgery","Corticotrophin releasing"
568,"A 30-year-old woman develops septic shock syndrome after exploratory laparotomy for perforated duodenal ulcer. Most common physiological response?","Hypokalemia","Respiratory acidosis","Cellular anaerobic respiration","Increase GFR","surgery","Cellular anaerobic respiration"
569,"A 65-year-old intubated in ICU for septic shock. Which parameter best indicates adequate systemic perfusion?","Cardiac index","Central venous pressure","Mixed venous oxygen saturation","Pulmonary capillary wedge pressure","surgery","Mixed venous oxygen saturation"
570,"A 55-year-old scheduled for laparoscopic cholecystectomy. Most appropriate prophylactic antibiotic regimen?","Regular dose for 5 days","3 doses postoperatively","Single dose with anesthesia induction","Single dose 1 hour before incision","surgery","Single dose with anesthesia induction"
571,"A 33-year-old male brought to ED after high-velocity trauma. Distended neck veins, absent breath sounds on right, hypotensive, tachycardic, SpO₂ = 85%. Most likely diagnosis?","Flail chest","Right hemothorax","Pericardial tamponade","Right tension pneumothorax","surgery","Right tension pneumothorax"
572,"Which value most closely represents a normal cerebral perfusion pressure in mmHg?","40","50","60","70","surgery","50"
573,"A 35-year-old woman with partial-thickness burns on arms and legs presents with edema and congestion. Which mediator is most likely responsible?","Serotonin","Bradykinin","Prostaglandin I₂","Thromboxane A₂","surgery","Prostaglandin I₂"
574,"A 55-year-old diabetic woman with steroid-dependent asthma undergoes right hemicolectomy. Post-op vitals: BP = 80/40 mmHg, HR = 140/min, Temp = 35.1°C. Lab results: Na = 131, K = 6.0, HCO₃⁻ = 18, Glucose = 2.3. Most likely clinical condition?","Thyroid storm","Adrenal insufficiency","Diabetic ketoacidosis","Septic shock syndrome","surgery","Adrenal insufficiency"
575,"A 35-year-old man with right tibia fracture managed conservatively now presents with toe swelling and pain. Earliest alarming sign of compartment syndrome?","Pain","Foot drop","Diminished pulses","Paresthesia between toes","surgery","Paresthesia between toes"
576,"A 35-year-old woman concerned about family history of breast and ovarian cancer. No symptoms. Most appropriate screening tool?","Ultrasound","Mammogram","BRCA gene test","Breast self-examination","surgery","Mammogram"
577,"A 55-year-old man presents with severe abdominal pain, constipation, vomiting, and palpable mass in left lumbar region. Most likely site of volvulus?","Caecum","Rectum","Sigmoid colon","Transverse colon","surgery","Sigmoid colon"
578,"A 19-year-old married woman presents with 6-hour history of RLQ pain and nausea. LMP was 2 weeks back. Exam shows tenderness and rebound. Labs: Hb = 105 g/L, HCT = 0.31. Most likely diagnosis?","Ureterocele","Ovarian torsion","Honeymoon cystitis","Pelvic inflammatory disease","surgery","Ovarian torsion"
579,"A 75-year-old diabetic hypertensive man underwent laparotomy for perforated duodenal ulcer. Post-op: CO = 2.5 L/min, PCWP = 20 mmHg. BP = 80/50 mmHg. Most likely type of shock?","Septic","Cardiogenic","Hypovolemic","Anaphylactic","surgery","Cardiogenic"
580,"A 13-year-old boy presents for elective surgery. History of bleeding tendency, knee contracture, and hemarthrosis. Most likely underlying disorder?","Haemophilia","Aplastic anemia","Wilson's disease","Henoch-Schönlein purpura","surgery","Haemophilia"
581,"A 15-year-old girl, 7 days post appendectomy, remains febrile and develops respiratory distress requiring ventilation. CT followed by contrast shows bleeding from multiple sites including mouth and IV punctures. Most likely diagnosis?","Haemophilia","Anaphylactic contrast reaction","Idiopathic thrombocytopenic purpura","Disseminated intravascular coagulation","surgery","Disseminated intravascular coagulation"
582,"A 55-year-old woman complains of abdominal pain, distension, and bilious vomiting. She is pale, dehydrated, abdomen soft with hyperdynamic bowel sounds. Diagnosed with gallstone disease 10 years ago. BP = 140/90 mmHg, HR = 120/min, Temp = 36.7°C. Labs: Hb = 100 g/L, WBC = 18.6 x10⁹/L, Platelets = 125 x10⁹/L. CT shows air in biliary system. Most likely diagnosis?","Cholangitis","Pancreatitis","Cholecystitis","Gallstone ileus","surgery","Gallstone ileus"
583,"A 55-year-old hypertensive diabetic woman with ischemic heart disease presents with sudden left lower quadrant pain and vomiting. Pale, dehydrated, flushed, irregular pulse. Abdomen distended and tender. ABG: pH = 7.23, HCO₃⁻ = 13 mmol/L. Most likely diagnosis?","Diverticulitis","Ulcerative colitis","Perforated viscus","Mesenteric ischemia","surgery","Mesenteric ischemia"
584,"A 65-year-old diabetic man with intermittent claudication of right leg now develops painful groin swelling. Exam: firm, irreducible, tender mass below inguinal crease with transmitted pulsation. Most likely diagnosis?","Psoas abscess","Saphena varix","Femoral hernia","Pseudoaneurysm","surgery","Pseudoaneurysm"
585,"A 33-year-old woman underwent varicose vein surgery on her right leg. On post-op day 2, she has pain and paraesthesia on medial aspect of leg and foot. Sensory loss to light touch and pain, no motor deficit. Most likely nerve injured?","Sciatic","Femoral","Obturator","Saphenous","surgery","Saphenous"
586,"A 25-year-old woman cannot extend fingers and has numbness over wrist. Paraesthesia at anatomical snuffbox and wrist drop. Clinical radial nerve injury suspected. Which site is most likely involved?","In the axilla","Carpal tunnel","Olecranon process","Spiral groove of humerus","surgery","Spiral groove of humerus"
587,"A 25-year-old woman rescued from a burning house after 2 hours presents with 35% burns, singed nostrils, and mouth soot. After initial resuscitation, carboxyhemoglobin = 40%. BP = 90/50 mmHg, HR = 125/min. Most appropriate management?","Exchange transfusion","Hyperbaric oxygen therapy","Carbonic anhydrase inhibitor","Intubation and ventilation","surgery","Intubation and ventilation"
588,"A 40-year-old woman presents with a 4x5 cm firm breast lump in inner quadrant, skin normal, no lymphadenopathy. Biopsy: Cystosarcoma phyllodes. Most appropriate management?","Chemotherapy","Radiation therapy","Wide local excision","Simple mastectomy","surgery","Wide local excision"
589,"A 55-year-old man with history of peptic ulcer disease presents with dark stools and weakness. Endoscopy shows multiple antral ulcers. Labs: Hb = 58 g/L, HCT = 0.18. Most appropriate management?","Total gastrectomy","Partial distal gastrectomy","Endoscopic laser photocoagulation","Truncal vagotomy and pyloroplasty","surgery","Partial distal gastrectomy"
590,"A 22-year-old tall man presents with sudden right-sided chest pain and dyspnea after long flight. CXR confirms right pneumothorax. Most appropriate initial management?","Thoracentesis","Tube thoracostomy","Thoracoscopic blebectomy","Conservative management","surgery","Tube thoracostomy"
591,"A 70-year-old bed-bound woman due to basal ganglia bleed has difficulty swallowing and significant weight loss. Weak muscles of mastication, absent gag reflex. Most appropriate feeding method?","Gastrostomy tube","Jejunostomy tube","Parenteral nutrition","Nasogastric tube feeding","surgery","Nasogastric tube feeding"
592,"A 60-year-old woman presents with massive rectal bleeding and similar episode 2 weeks ago. Colonoscopy normal, Tc-99 scan shows angiodysplasia in left colon. Labs: Hb = 55 g/L, HCT = 0.16. Most appropriate management?","Left hemicolectomy","Conservative treatment","Endoscopic laser ablation","Mesenteric angioembolization","surgery","Mesenteric angioembolization"
